flanker_type,flanker_congruencity,distraction_congruencity
left,congruent,congruent
left,incongruent,congruent
left,congruent,congruent
left,incongruent,congruent
left,congruent,congruent
left,incongruent,congruent
left,congruent,congruent
left,incongruent,congruent
right,congruent,congruent
right,incongruent,congruent
right,congruent,congruent
right,incongruent,congruent
right,congruent,congruent
right,incongruent,congruent
right,congruent,congruent
right,incongruent,congruent
