flanker_type,flanker_congruencity,distraction_congruencity
left,congruent,incongruent
left,incongruent,incongruent
left,congruent,incongruent
left,incongruent,incongruent
left,congruent,incongruent
left,incongruent,incongruent
left,congruent,incongruent
left,incongruent,incongruent
right,congruent,incongruent
right,incongruent,incongruent
right,congruent,incongruent
right,incongruent,incongruent
right,congruent,incongruent
right,incongruent,incongruent
right,congruent,incongruent
right,incongruent,incongruent
