block;flanker_type;flanker_congruencity;distraction_congruencity;response_provided;trial_start_time;response_time
incongruent_distractor;left;incongruent;incongruent;left;19.853921;1.560849
incongruent_distractor;left;congruent;incongruent;left;21.605407;0.776064
incongruent_distractor;left;incongruent;incongruent;left;23.36118;0.665257
incongruent_distractor;right;congruent;incongruent;right;25.116442;0.55405
incongruent_distractor;right;congruent;incongruent;right;26.871808;0.743265
incongruent_distractor;left;congruent;incongruent;left;28.628177;0.675731
incongruent_distractor;right;incongruent;incongruent;right;30.383849;0.486721
incongruent_distractor;left;incongruent;incongruent;left;32.139224;0.487718
incongruent_distractor;right;incongruent;incongruent;right;33.894225;0.609904
incongruent_distractor;right;congruent;incongruent;right;35.650337;0.509684
incongruent_distractor;right;incongruent;incongruent;left;37.405779;0.45381
incongruent_distractor;left;congruent;incongruent;left;39.16173;0.575993
incongruent_distractor;right;incongruent;incongruent;right;40.917484;0.520632
incongruent_distractor;right;congruent;incongruent;right;42.67289;0.454502
incongruent_distractor;left;incongruent;incongruent;left;44.428124;0.520598
incongruent_distractor;left;congruent;incongruent;left;46.184658;0.531606
neutral_distractor;right;incongruent;neutral;right;57.994821;0.74444
neutral_distractor;left;incongruent;neutral;left;59.750917;0.632345
neutral_distractor;left;incongruent;neutral;left;61.507015;0.798645
neutral_distractor;left;congruent;neutral;left;63.262654;0.476657
neutral_distractor;left;congruent;neutral;left;65.017837;0.63249
neutral_distractor;right;congruent;neutral;right;66.773928;0.609268
neutral_distractor;right;incongruent;neutral;;68.530031;
neutral_distractor;left;incongruent;neutral;;70.285051;
